Viaje	MSE	RMSE	MAE	MAPE	DESV
1	0.00585707834307	0.0765315512914	0.0624647517864	228.722430959	0.0442180181298
2	0.0080196989808	0.0895527720442	0.0692640465865	229.924677203	0.056764344718
3	0.00921654346322	0.0960028304959	0.0740370289838	469.045383833	0.0611151519876
4	0.00698277918817	0.0835630252455	0.0643030559971	193.579557741	0.0533656835204
5	0.0117009919766	0.10817112358	0.0857916280698	85.8088941443	0.0658846608078
6	0.0100889219419	0.100443625691	0.0810797869341	173.32620809	0.0592873518769
7	0.00952003442778	0.0975706637662	0.0785016897424	53.7329050645	0.0579441035426
8	0.0116189702226	0.107791327214	0.0858476814909	98.66810258	0.0651854723479
9	0.00995848938092	0.099792231065	0.0778248757654	89.1235446788	0.0624642144994
10	0.0128246559281	0.113245997404	0.0891393832302	103.977249667	0.0698485954434
11	0.00606508073287	0.0778786282164	0.0621742846398	70.1227885334	0.046898177602
12	0.0114556984719	0.107031296693	0.0816269479734	69.0409045079	0.0692296167578
13	0.00479282985902	0.0692302669287	0.0555151771014	39.2684559297	0.0413629661704
14	0.00950336130825	0.0974851850706	0.0811255053861	273.436450482	0.0540556535812
15	0.00663148170535	0.0814339100458	0.0621244689543	135.692447908	0.0526500908118
16	0.00982588808411	0.0991256176985	0.0781649118254	75.7966525588	0.0609601069834
17	0.0099622920265	0.0998112820602	0.0778187767632	80.4489826663	0.0625022400364
18	0.00820098921127	0.0905593132222	0.0698941370794	119.100082336	0.0575829732924
19	0.00770913176943	0.0878016615414	0.0700535200266	130.262316399	0.0529304836678
20	0.00403726186731	0.063539451267	0.0484884534853	39.6370170959	0.0410625345773
21	0.0126060561402	0.112276694555	0.085515453983	94.1837494871	0.0727541288885
22	0.00581407900997	0.076250108262	0.0609892473757	67.7420815273	0.0457645137035
23	0.00809122591137	0.0899512418556	0.0703837265172	140.815274085	0.0560121143407
24	0.00998606345371	0.0999302929732	0.0748163472915	201.303753024	0.0662463405153
25	0.0145132578061	0.120470983254	0.0919364734467	293.211584597	0.0778520562109
26	0.00906437804523	0.0952070272891	0.0748717213024	143.866721288	0.0588098919779
27	0.0120499631633	0.109772324214	0.0830722754361	140.962530332	0.0717562555961
28	0.0131439248212	0.114646957313	0.0913820249313	173.172548104	0.069233303696
29	0.00792719617987	0.0890348031944	0.0669815076804	219.121177082	0.058657257085
30	0.00947833697845	0.0973567510677	0.0786642110957	105.847563674	0.057360952495
31	0.00831578296067	0.091190914902	0.0742821896565	148.528609854	0.0528955504793
32	0.0110959692696	0.105337406792	0.0762855255217	262.982389869	0.0726394373978
33	0.00850365606219	0.0922152702224	0.0737656405703	222.654478433	0.0553379285251
34	0.00936086907326	0.0967515843449	0.0707883843419	79.2213137885	0.0659535724243
35	0.00807947192908	0.0898858828131	0.0707799738674	272.269053369	0.0554045776847
36	0.00891937619217	0.0944424491009	0.0682029541878	142.923701507	0.065327890156
37	0.0150164934302	0.122541802787	0.081767581898	132.323100991	0.0912718794634
38	0.00523093060902	0.0723251727203	0.0541385926076	35.4528205191	0.0479577251284
39	0.00705116789082	0.0839712325194	0.0643354241222	205.883723245	0.0539640722504
40	0.0143324603282	0.119718253947	0.0919357296887	79.3474570723	0.0766829963865
41	0.00732959815997	0.0856130723662	0.0658535299645	230.330408341	0.0547075017816
42	0.00667368090223	0.0816926000457	0.0620180779719	82.0159150082	0.0531736674201
43	0.00907640965053	0.0952701928755	0.0732890441848	71.2323280398	0.0608697433295
44	0.0080025960128	0.0894572300756	0.0710804681308	205.770171611	0.0543154035528
45	0.0069856782606	0.0835803700674	0.0591213691738	210.407704248	0.0590791161716
46	0.00657471385508	0.0810846092368	0.06254095059	67.6390837212	0.0516075900849
47	0.00899789990347	0.0948572606787	0.0726010140189	147.962245675	0.0610491004593
48	0.00518909926224	0.0720354028395	0.0554184373632	76.3193647896	0.0460206047599
49	0.00877356200376	0.0936672942054	0.0698205844514	127.667051979	0.0624391543074
50	0.00818580648705	0.090475446874	0.0648279331485	100.397175838	0.0631121665825
51	0.0105220434955	0.10257701251	0.075145204457	125.746175179	0.069822931352
52	0.00372164228967	0.0610052644422	0.043361608435	250.928873058	0.0429116907567
53	0.00696472815319	0.0834549468467	0.0589186336045	70.0108547169	0.0591043379742
54	0.00651410281583	0.0807099920445	0.0634388797852	123.1431798	0.0498960053254
55	0.00925979244777	0.0962278153538	0.0721027353473	217.507351483	0.0637258817374
56	0.00946478318498	0.0972871172611	0.0716439999545	412.756106988	0.065817326408
57	0.00835946690529	0.0914301203395	0.070851686824	185.145589218	0.0577884536865
58	0.00658561379745	0.0811517947889	0.0571663761102	59.4328630192	0.057598778111
59	0.00328973069773	0.0573561740158	0.0423116200863	206.20420764	0.0387228292277
60	0.00919780055132	0.0959051643621	0.0637996466257	186.616123011	0.0716059050761
61	0.0144185628926	0.120077320475	0.0862316196763	236.85188459	0.0835623758671
62	0.0100934765227	0.100466295456	0.0716500154415	74.6453072261	0.0704255053936
63	0.00481578792374	0.0693958782907	0.0520402706035	78.1923779427	0.0459085848099
64	0.00677444502441	0.0823070168601	0.0628613542878	218.836562807	0.0531309247192
65	0.00536844642728	0.0732696828659	0.0526874996733	186.465334547	0.0509163412418
66	0.00593700421322	0.0770519578805	0.0581862751759	199.956143444	0.0505110046859
67	0.00596679900239	0.0772450581098	0.0566260262159	286.161039685	0.0525384826331
68	0.00708199994658	0.0841546192825	0.0628001896085	179.051996984	0.0560190693578
69	0.00710009448384	0.0842620583883	0.061605920959	266.54691243	0.0574874332931
70	0.00671183784205	0.0819258069356	0.0584282760329	107.217758677	0.0574279931904
71	0.00637248568824	0.0798278503296	0.0582788857726	205.855758932	0.0545532506945
72	0.00527480549454	0.0726278561885	0.0529371195097	83.1076182096	0.0497239064491
73	0.00942034833436	0.0970584789411	0.0697927680563	181.158953382	0.0674486312789
74	0.00719604152415	0.0848294849929	0.0637622930206	105.770134667	0.0559500805442
75	0.00781458298434	0.0884001300018	0.0664044483863	161.327492991	0.0583526539144
76	0.014627750975	0.120945239571	0.0848511068264	502.215073329	0.0861860815057
77	0.00605625996229	0.0778219760883	0.0544385318632	90.3961074595	0.0556121048951
78	0.00604555010845	0.0777531356824	0.0563025570828	112.470567095	0.0536243617621
79	0.00959792697264	0.0979690102667	0.073444200396	276.868259374	0.0648373071683
80	0.00870108472064	0.0932796050626	0.0689141292066	123.979121717	0.0628643580762
81	0.00853283521165	0.0923733468683	0.0720663031321	160.879655081	0.0577865309957
82	0.0087202989329	0.0933825408355	0.0701953415979	277.916084535	0.0615866296435
83	0.0127111907999	0.112743916909	0.0817243779952	117.839590662	0.0776679910981
84	0.00927924518622	0.0963288388087	0.0765599205996	188.61516522	0.0584621565117
85	0.00992207052438	0.0996095905241	0.0731924287292	112.077163646	0.0675643315745
86	0.00733708409407	0.0856567807828	0.0657841271725	52.8228349584	0.054859208035
87	0.00734113869273	0.0856804452179	0.0664587546349	111.818661747	0.054077468738
88	0.00773020687532	0.0879215950454	0.0677277358503	121.809185059	0.0560638981156
89	0.00580436799932	0.0761864029819	0.0600213827038	83.3334567559	0.0469233589765
90	0.0034487999348	0.0587264841005	0.0430524356069	43.6490684017	0.0399410531047
91	0.00806697920653	0.0898163638016	0.0678944448577	287.768187088	0.0587990098896
92	0.00676305457725	0.0822377928768	0.061539357104	214.820136537	0.0545523794575
93	0.0132687674383	0.115190136028	0.0868217763427	181.379604931	0.0757016947693
94	0.0169267181173	0.130102721406	0.102468644137	142.188426229	0.0801679180602
95	0.00868225115918	0.0931785981821	0.0722255059661	89.5280213509	0.0588704293098
96	0.00916211968839	0.0957189620106	0.0739854951004	141.712925882	0.0607310974966
97	0.0128462820247	0.113341440015	0.0871107524862	157.316977069	0.0725120598661
98	0.00920806269711	0.0959586509759	0.0730561325451	73.091143809	0.0622162695335
99	0.009808718364	0.0990389739648	0.0770560500625	210.53778106	0.0622180320548
100	0.00827272503964	0.0909545218208	0.0734864684772	401.274608063	0.053595372845
101	0.00916948666265	0.0957574365919	0.0794219182423	151.118784128	0.05349435078
102	0.010885044525	0.104331416769	0.0836403383314	331.135570666	0.0623645598778
103	0.00799017701854	0.0893877900976	0.0677580071358	102.235879733	0.0583011962786
104	0.00666143606666	0.0816176210549	0.061741354596	125.521907342	0.0533801573557
105	0.00947723326147	0.0973510824874	0.0674273868849	118.656112076	0.0702195183645
106	0.00746804666217	0.0864178607822	0.0649408845993	130.775236871	0.0570151573674
107	0.00599448096326	0.077424033499	0.0589452959803	283.874925466	0.0501989347004
108	0.00714304092056	0.0845165127094	0.0651959470179	166.426479967	0.0537822406841
109	0.00942087552054	0.0970611947204	0.0714107851747	199.785553569	0.0657371681872
110	0.00672960098941	0.0820341452653	0.0614986481457	162.980677992	0.0542910422231
111	0.00967789047904	0.098376269898	0.0760493161454	1087.10984071	0.0624050638398
112	0.0102323335587	0.101154997695	0.0757232528265	921.947498749	0.0670695351115
113	0.0113094039183	0.106345681239	0.0830579958301	356.699652864	0.0664136525645
114	0.0115274613057	0.1073660156	0.0797839316272	430.724832281	0.0718469592944
115	0.00392572384923	0.0626555971102	0.0471960493738	90.9119615677	0.0412099110983
