Fecha	Hora fin	Cantidad de pares de viajes	Precision binaria	Precision caso a caso
20161107	25200	19.0	0.789473684211	0.879960698173
20161107	27000	23.0	0.913043478261	0.926174447537
20161107	28800	17.0	0.764705882353	0.873380084568
20161107	30600	18.0	0.833333333333	0.922106866002
20161107	32400	17.0	1.0	0.912870411322
20161107	34200	25.0	0.8	0.840389809031
20161107	36000	21.0	0.809523809524	0.80535925141
20161107	37800	9.0	1.0	0.933138279345
20161107	39600	13.0	0.846153846154	0.835725117177
20161107	41400	11.0	0.909090909091	0.860643985644
20161107	43200	1.0	0.0	0.25
20161107	50400	11.0	0.727272727273	0.848289879399
20161107	52200	19.0	0.789473684211	0.838015661203
20161107	54000	5.0	0.8	0.837908496732
20161107	55800	7.0	0.857142857143	0.955026455026
20161107	57600	15.0	0.866666666667	0.915246833506
20161107	59400	23.0	0.869565217391	0.934857571214
20161107	61200	15.0	1.0	0.953036633245
20161107	63000	19.0	0.947368421053	0.933333333333
20161107	64800	13.0	1.0	0.939422294973
20161107	66600	7.0	1.0	0.979812465527
20161107	68400	13.0	0.615384615385	0.857116514013
20161107	70200	15.0	0.666666666667	0.826728876601
20161107	72000	17.0	0.882352941176	0.913207840793
20161107	73800	29.0	0.758620689655	0.872099977551
20161108	25200	21.0	0.904761904762	0.921599328045
20161108	27000	19.0	0.789473684211	0.8064936878
20161108	28800	27.0	0.814814814815	0.868363199382
20161108	30600	27.0	0.851851851852	0.799345720597
20161108	32400	23.0	0.913043478261	0.89070850918
20161108	34200	25.0	0.68	0.825616968036
20161108	36000	19.0	0.736842105263	0.897810690194
20161108	37800	3.0	1.0	0.981981981982
20161108	39600	1.0	1.0	0.965517241379
20161108	41400	3.0	1.0	0.925385657703
20161108	43200	11.0	0.909090909091	0.895116372501
20161108	45000	9.0	0.888888888889	0.862535612536
20161108	46800	9.0	0.777777777778	0.834008097166
20161108	48600	15.0	0.733333333333	0.921140312224
20161108	50400	25.0	0.68	0.899847438228
20161108	52200	21.0	0.761904761905	0.816336680561
20161108	54000	17.0	0.647058823529	0.755373190255
20161108	55800	17.0	0.823529411765	0.812920106219
20161108	57600	15.0	0.933333333333	0.870380496696
20161108	59400	19.0	0.736842105263	0.882433644176
20161108	61200	11.0	0.636363636364	0.930755026717
20161108	63000	12.0	1.0	0.921993940946
20161108	64800	13.0	1.0	0.933314054367
20161108	66600	5.0	1.0	0.940659340659
20161108	68400	7.0	0.571428571429	0.777914819337
20161108	70200	21.0	1.0	0.889085942292
20161108	72000	25.0	0.84	0.872009113854
20161108	73800	23.0	0.782608695652	0.819767856724
20161109	25200	21.0	0.904761904762	0.952824532129
20161109	27000	23.0	0.95652173913	0.938570888565
20161109	28800	19.0	0.842105263158	0.882570117335
20161109	30600	21.0	0.666666666667	0.873552236381
20161109	32400	21.0	0.619047619048	0.862838251428
20161109	34200	31.0	0.709677419355	0.84032613287
20161109	36000	21.0	0.857142857143	0.896652585765
20161109	37800	9.0	1.0	0.927696078431
20161109	39600	5.0	1.0	0.845031712474
20161109	48600	7.0	1.0	0.92360631308
20161109	50400	29.0	0.827586206897	0.914078316974
20161109	52200	23.0	0.913043478261	0.904701105788
20161109	54000	9.0	1.0	0.925336477061
20161109	55800	17.0	0.823529411765	0.95230647243
20161109	57600	19.0	0.842105263158	0.893342396065
20161109	59400	23.0	0.913043478261	0.901709125897
20161109	61200	19.0	0.947368421053	0.961408777198
20161109	63000	19.0	0.842105263158	0.891487715501
20161109	64800	17.0	0.882352941176	0.865516589354
20161109	66600	9.0	0.888888888889	0.923913043478
20161109	68400	17.0	0.823529411765	0.711147339138
20161109	70200	19.0	0.894736842105	0.874470273381
20161109	72000	17.0	0.823529411765	0.885048381435
20161109	73800	17.0	0.823529411765	0.883117260741
20161110	25200	21.0	0.857142857143	0.879328566614
20161110	27000	17.0	0.941176470588	0.936051393453
20161110	28800	27.0	0.888888888889	0.858141291312
20161110	30600	15.0	0.866666666667	0.882209457209
20161110	32400	1.0	1.0	0.95
20161110	34200	21.0	0.761904761905	0.807639144683
20161110	36000	27.0	0.777777777778	0.866859280698
20161110	37800	17.0	0.823529411765	0.823020622042
20161110	39600	5.0	1.0	0.922144522145
20161110	41400	13.0	0.538461538462	0.776477218076
20161110	43200	21.0	0.571428571429	0.809782573886
20161110	45000	15.0	0.8	0.875987958402
20161110	46800	11.0	1.0	0.990553306343
20161110	48600	21.0	0.619047619048	0.918455982253
20161110	50400	39.0	0.666666666667	0.86534160891
20161110	52200	29.0	0.896551724138	0.873964733178
20161110	54000	15.0	0.733333333333	0.837615713694
20161110	55800	15.0	0.733333333333	0.920322933771
20161110	57600	15.0	0.733333333333	0.846466146427
