Fecha	Hora fin	Cantidad de pares de viajes	Precision binaria	Precision caso a caso
20161107	25200	19.0	0.736842105263	0.943022328549
20161107	27000	23.0	0.608695652174	0.918380585053
20161107	28800	17.0	0.764705882353	0.930673137741
20161107	30600	19.0	0.578947368421	0.853789671514
20161107	32400	17.0	0.764705882353	0.884629990166
20161107	34200	25.0	0.52	0.805485845363
20161107	36000	21.0	0.809523809524	0.881087942423
20161107	37800	9.0	0.888888888889	0.92025862069
20161107	39600	13.0	0.769230769231	0.828270874425
20161107	41400	11.0	1.0	0.777489177489
20161107	43200	1.0	0.0	0.666666666667
20161107	50400	11.0	0.545454545455	0.859795759796
20161107	52200	19.0	0.842105263158	0.974146514936
20161107	54000	5.0	1.0	0.988235294118
20161107	55800	7.0	0.571428571429	0.939717425432
20161107	57600	15.0	0.733333333333	0.888605212355
20161107	59400	23.0	0.826086956522	0.883109040718
20161107	61200	15.0	0.8	0.938095238095
20161107	63000	19.0	0.631578947368	0.942584140867
20161107	64800	13.0	0.769230769231	0.822843822844
20161107	66600	7.0	0.571428571429	0.893534649632
20161107	68400	13.0	0.846153846154	0.822491684561
20161107	70200	15.0	0.733333333333	0.851950220731
20161107	72000	17.0	0.705882352941	0.864345164915
20161107	73800	29.0	0.620689655172	0.855445195664
20161108	25200	21.0	0.666666666667	0.942046468937
20161108	27000	19.0	0.631578947368	0.770590225912
20161108	28800	27.0	0.666666666667	0.813081752266
20161108	30600	27.0	0.518518518519	0.835063951695
20161108	32400	23.0	0.739130434783	0.890128057119
20161108	34200	25.0	0.72	0.796287378029
20161108	36000	19.0	0.789473684211	0.883373205742
20161108	37800	3.0	1.0	1.0
20161108	39600	1.0	1.0	1.0
20161108	41400	3.0	0.666666666667	0.95
20161108	43200	11.0	0.454545454545	0.907213998123
20161108	45000	11.0	1.0	0.923636363636
20161108	46800	9.0	0.444444444444	0.796992481203
20161108	48600	15.0	0.6	0.837305068226
20161108	50400	25.0	0.68	0.885953741191
20161108	52200	21.0	0.761904761905	0.90914260441
20161108	54000	17.0	0.529411764706	0.777314719594
20161108	55800	17.0	0.647058823529	0.823109243697
20161108	57600	15.0	0.733333333333	0.86026026026
20161108	59400	19.0	0.578947368421	0.824683065473
20161108	61200	11.0	1.0	1.0
20161108	63000	13.0	0.615384615385	0.959002535926
20161108	64800	13.0	0.769230769231	0.975082082552
20161108	66600	5.0	0.8	0.963157894737
20161108	68400	7.0	0.571428571429	0.901482127289
20161108	70200	21.0	0.619047619048	0.931461906774
20161108	72000	25.0	0.8	0.867822438807
20161108	73800	23.0	0.652173913043	0.852197802198
20161109	25200	21.0	0.714285714286	0.930178485536
20161109	27000	23.0	0.652173913043	0.851420420742
20161109	28800	19.0	0.631578947368	0.903180443312
20161109	30600	21.0	0.809523809524	0.777919692393
20161109	32400	21.0	0.380952380952	0.828245026081
20161109	34200	31.0	0.709677419355	0.839880223028
20161109	36000	21.0	0.952380952381	0.890589569161
20161109	37800	9.0	0.777777777778	0.900462962963
20161109	39600	5.0	0.8	0.995238095238
20161109	48600	7.0	0.428571428571	0.882000132
20161109	50400	29.0	0.655172413793	0.897859821641
20161109	52200	23.0	0.869565217391	0.933333333333
20161109	54000	9.0	0.666666666667	0.949802667589
20161109	55800	17.0	0.647058823529	0.849279620177
20161109	57600	19.0	0.842105263158	0.911870631864
20161109	59400	23.0	0.782608695652	0.903670484105
20161109	61200	19.0	0.789473684211	0.947808624124
20161109	63000	19.0	0.631578947368	0.861293859649
20161109	64800	17.0	0.588235294118	0.84402642636
20161109	66600	9.0	0.888888888889	0.912186379928
20161109	68400	17.0	0.411764705882	0.736388225472
20161109	70200	19.0	0.631578947368	0.90221024252
20161109	72000	17.0	0.705882352941	0.907014243116
