Fecha	Hora fin	Cantidad de pares de viajes	Precision binaria	Precision caso a caso		
20161107	25200	19.0	0.842105263158	0.908293460925		
20161107	27000	23.0	0.826086956522	0.858721532091		
20161107	28800	17.0	0.764705882353	0.957024000667		
20161107	30600	19.0	0.631578947368	0.931030246339		
20161107	32400	17.0	0.764705882353	0.870766488414		
20161107	34200	25.0	0.76	0.862605759076		
20161107	36000	21.0	0.666666666667	0.879040827281		
20161107	37800	9.0	0.888888888889	0.905491698595		
20161107	39600	13.0	0.846153846154	0.825603618309		
20161107	41400	11.0	0.818181818182	0.743703703704		
20161107	43200	1.0	1.0	1.0		
20161107	50400	11.0	0.545454545455	0.828737928738		
20161107	52200	19.0	0.789473684211	0.881529707845		
20161107	54000	5.0	1.0	0.882352941176		
20161107	55800	7.0	1.0	0.934065934066		
20161107	57600	15.0	0.666666666667	0.923346560847		
20161107	59400	23.0	0.782608695652	0.888761759471		
20161107	61200	15.0	0.666666666667	0.892698412698		
20161107	63000	19.0	0.947368421053	0.860028559574		
20161107	64800	13.0	0.769230769231	0.808857808858		
20161107	66600	7.0	0.571428571429	0.80487804878		
20161107	68400	13.0	0.615384615385	0.810317460317		
20161107	70200	15.0	0.866666666667	0.854427198817		
20161107	72000	17.0	0.764705882353	0.825230473143		
20161107	73800	29.0	0.689655172414	0.82774053918		
20161108	25200	21.0	0.571428571429	0.882363030344		
20161108	27000	19.0	0.842105263158	0.843315807295		
20161108	28800	27.0	0.592592592593	0.826554444789		
20161108	30600	27.0	0.555555555556	0.847846524166		
20161108	32400	23.0	0.739130434783	0.898836765828		
20161108	34200	25.0	0.56	0.750366947769		
20161108	36000	19.0	0.526315789474	0.809688995215		
20161108	37800	3.0	1.0	1.0		
20161108	39600	1.0	1.0	1.0		
20161108	41400	3.0	0.666666666667	0.975		
20161108	43200	11.0	0.545454545455	0.79686222868		
20161108	45000	11.0	0.909090909091	0.985454545455		
20161108	46800	9.0	0.777777777778	0.861821219716		
20161108	48600	15.0	0.8	0.899317738791		
20161108	50400	25.0	0.84	0.883090718249		
20161108	52200	21.0	0.809523809524	0.844225409462		
20161108	54000	17.0	0.529411764706	0.756375024757		
20161108	55800	17.0	0.823529411765	0.799912464986		
20161108	57600	15.0	0.933333333333	0.888355021688		
20161108	59400	19.0	0.736842105263	0.811485298327		
20161108	61200	11.0	0.818181818182	0.916083916084		
20161108	63000	13.0	0.769230769231	0.937053662518		
20161108	64800	13.0	0.846153846154	0.956848030019		
20161108	66600	5.0	1.0	1.0		
20161108	68400	7.0	1.0	0.940092165899		
20161108	70200	21.0	0.809523809524	0.929705775253		
20161108	72000	25.0	0.92	0.840246768508		
20161108	73800	23.0	0.695652173913	0.882133566916		
20161109	25200	21.0	0.619047619048	0.856632578372		
20161109	27000	23.0	0.739130434783	0.91926736848		
20161109	28800	19.0	0.684210526316	0.868005936098		
20161109	30600	21.0	0.809523809524	0.875440835967		
20161109	32400	21.0	0.52380952381	0.838394071079		
20161109	34200	31.0	0.58064516129	0.83146614519		
20161109	36000	21.0	0.857142857143	0.894851043866		
20161109	37800	9.0	0.666666666667	0.863425925926		
20161109	39600	5.0	0.8	0.995238095238		
20161109	48600	7.0	0.571428571429	0.869055869056		
20161109	50400	29.0	0.620689655172	0.847800483125		
20161109	52200	23.0	0.565217391304	0.729830917874		
20161109	54000	9.0	0.777777777778	0.879584017515		
20161109	55800	17.0	0.647058823529	0.749449914311		
20161109	57600	19.0	0.789473684211	0.890996291542		
20161109	59400	23.0	0.739130434783	0.838564575521		
20161109	61200	19.0	0.736842105263	0.909964012596		
20161109	63000	19.0	0.842105263158	0.875		
20161109	64800	17.0	0.588235294118	0.905019902698		
20161109	66600	9.0	0.888888888889	0.908602150538		
20161109	68400	17.0	0.647058823529	0.827742917054		
20161109	70200	19.0	0.736842105263	0.887070747043		
20161109	72000	17.0	0.882352941176	0.915777505283		
20161109	73800	17.0	0.764705882353	0.903972734605		
20161110	25200	21.0	0.666666666667	0.795121148693		
20161110	27000	17.0	0.470588235294	0.841106831622		
20161110	28800	27.0	0.740740740741	0.880758870817		
20161110	30600	15.0	0.733333333333	0.903174603175		
20161110	32400	1.0	0.0	0.538461538462		
20161110	34200	21.0	0.619047619048	0.851447307482		
20161110	36000	27.0	0.703703703704	0.826675485009		
20161110	37800	17.0	0.705882352941	0.794537815126		
20161110	39600	5.0	1.0	1.0		
20161110	41400	13.0	0.615384615385	0.827007266927		
20161110	43200	21.0	0.52380952381	0.702539893057		
20161110	45000	15.0	0.666666666667	0.888007054674		
20161110	46800	11.0	0.727272727273	0.851286693392		
20161110	48600	21.0	0.619047619048	0.808767455605		
20161110	50400	39.0	0.692307692308	0.806006931665		
20161110	52200	29.0	0.793103448276	0.856180731567		
20161110	54000	15.0	0.533333333333	0.723039287235		
20161110	55800	15.0	0.8	0.918569604087		
20161110	57600	15.0	0.733333333333	0.814969433719		
20161110	59400	15.0	0.733333333333	0.883663003663		
20161110	61200	21.0	0.619047619048	0.878932124509		
20161110	63000	19.0	0.684210526316	0.892543859649		
20161110	64800	11.0	0.909090909091	0.826986076986		
20161110	66600	11.0	0.727272727273	0.716746411483		
20161110	68400	11.0	0.818181818182	0.936739730857		
20161110	70200	13.0	0.923076923077	0.90216033966		
20161110	72000	17.0	0.764705882353	0.888507801311		
20161110	73800	25.0	0.64	0.871435932827		
20161111	25200	19.0	0.894736842105	0.933711746471		
20161111	27000	17.0	0.705882352941	0.887616608205		
20161111	28800	23.0	0.565217391304	0.868175716064		
20161111	30600	7.0	0.857142857143	0.873015873016		
20161111	32400	1.0	1.0	1.0		
20161111	34200	15.0	0.466666666667	0.835470572984		
20161111	36000	19.0	0.736842105263	0.845008354219		
20161111	37800	7.0	0.571428571429	0.890331890332		
20161111	45000	9.0	0.777777777778	0.97619047619		
20161111	46800	17.0	0.411764705882	0.807102912289		
20161111	48600	21.0	0.52380952381	0.735677974894		
20161111	50400	27.0	0.814814814815	0.872343786817		
20161111	52200	31.0	0.774193548387	0.814528385969		
20161111	54000	11.0	0.545454545455	0.654882154882		
20161111	55800	3.0	1.0	0.691691691692		
